CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
164,43460,43460,"Sikeston, MO","Sikeston, MO Micro Area",M2,2,G3110,1087765673,15199711,+37.0477927,-089.5680975
,43500,43500,"Silver City, NM","Silver City, NM Micro Area",M2,2,G3110,10259419034,15354482,+32.7320870,-108.3815043
512,43580,43580,"Sioux City, IA-NE-SD","Sioux City, IA-NE-SD Metro Area",M1,1,G3110,7606651304,57004554,+42.5806338,-096.3760468
,43620,43620,"Sioux Falls, SD","Sioux Falls, SD Metro Area",M1,1,G3110,6671079054,27077952,+43.4954205,-096.9953387
,43660,43660,"Snyder, TX","Snyder, TX Micro Area",M2,2,G3110,2345090493,5436958,+32.7443531,-100.9133465
,43700,43700,"Somerset, KY","Somerset, KY Micro Area",M2,2,G3110,1705274602,48546594,+37.1083118,-084.5799857
306,43740,43740,"Somerset, PA","Somerset, PA Micro Area",M2,2,G3110,2782597159,17002839,+39.9812968,-079.0284859
,43760,43760,"Sonora, CA","Sonora, CA Micro Area",M2,2,G3110,5752184086,138627184,+38.0214344,-119.9647335
515,43780,43780,"South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI Metro Area",M1,1,G3110,2455267302,56251230,+41.7749808,-086.1230143
273,43900,43900,"Spartanburg, SC","Spartanburg, SC Metro Area",M1,1,G3110,3424293983,34016291,+34.8346199,-081.8424008
452,43940,43940,"Spearfish, SD","Spearfish, SD Micro Area",M2,2,G3110,2072081400,713642,+44.3485831,-103.8058171
,43980,43980,"Spencer, IA","Spencer, IA Micro Area",M2,2,G3110,1469139466,13866649,+43.0812244,-095.1498753
,44020,44020,"Spirit Lake, IA","Spirit Lake, IA Micro Area",M2,2,G3110,985764405,60490791,+43.3896107,-095.1960572
518,44060,44060,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA Metro Area",M1,1,G3110,14611621694,271712457,+48.1890407,-117.5732186
522,44100,44100,"Springfield, IL","Springfield, IL Metro Area",M1,1,G3110,3063280699,25218803,+39.8285650,-089.6962052
521,44140,44140,"Springfield, MA","Springfield, MA Metro Area",M1,1,G3110,2963649315,90952745,+42.2477995,-072.6320465
520,44180,44180,"Springfield, MO","Springfield, MO Metro Area",M1,1,G3110,7787627641,35981602,+37.3608699,-093.1802617
212,44220,44220,"Springfield, OH","Springfield, OH Metro Area",M1,1,G3110,1029469371,13070242,+39.9170315,-083.7836760
,44260,44260,"Starkville, MS","Starkville, MS Micro Area",M2,2,G3110,1186750731,9649656,+33.4223134,-088.8761514
524,44300,44300,"State College, PA","State College, PA Metro Area",M1,1,G3110,2874542864,8187277,+40.9091603,-077.8478297
496,44340,44340,"Statesboro, GA","Statesboro, GA Micro Area",M2,2,G3110,1743181436,40350113,+32.3917111,-081.7440210
277,44420,44420,"Staunton-Waynesboro, VA","Staunton-Waynesboro, VA Metro Area",M1,1,G3110,2595263177,10519161,+38.1609584,-079.1276321
525,44460,44460,"Steamboat Springs, CO","Steamboat Springs, CO Micro Area",M2,2,G3110,6117602778,15831744,+40.4836638,-106.9877021
,44500,44500,"Stephenville, TX","Stephenville, TX Micro Area",M2,2,G3110,2805191670,17394954,+32.2381358,-098.2223769
,44540,44540,"Sterling, CO","Sterling, CO Micro Area",M2,2,G3110,4761948003,16363553,+40.7280911,-103.0904639
221,44580,44580,"Sterling, IL","Sterling, IL Micro Area",M2,2,G3110,1772198882,31796423,+41.7505708,-089.9109567
554,44620,44620,"Stevens Point, WI","Stevens Point, WI Micro Area",M2,2,G3110,2074100548,56938133,+44.4762457,-089.4980699
,44660,44660,"Stillwater, OK","Stillwater, OK Micro Area",M2,2,G3110,1773393744,31771425,+36.0792254,-096.9752553
488,44700,44700,"Stockton-Lodi, CA","Stockton-Lodi, CA Metro Area",M1,1,G3110,3606276598,89025932,+37.9349815,-121.2722440
,44740,44740,"Storm Lake, IA","Storm Lake, IA Micro Area",M2,2,G3110,1488989045,13791664,+42.7415219,-095.1414324
310,44780,44780,"Sturgis, MI","Sturgis, MI Micro Area",M2,2,G3110,1296553523,52912989,+41.9114878,-085.5228703
146,44980,44980,"Sunbury, PA","Sunbury, PA Micro Area",M2,2,G3110,1186219234,50515011,+40.8515244,-076.7098770
,45000,45000,"Susanville, CA","Susanville, CA Micro Area",M2,2,G3110,11761603010,463438616,+40.7210862,-120.6299518
,45020,45020,"Sweetwater, TX","Sweetwater, TX Micro Area",M2,2,G3110,2362061739,5052158,+32.3123379,-100.4181078
532,45060,45060,"Syracuse, NY","Syracuse, NY Metro Area",M1,1,G3110,6176908667,1020620363,+43.0065163,-076.1961336
538,45140,45140,"Tahlequah, OK","Tahlequah, OK Micro Area",M2,2,G3110,1940958254,69624105,+35.9043668,-094.9967964
